City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,tofol,5.3248,163.0078,301.19,72,76,2.71,FM,1691462611
264,el alto,-4.2714,-81.2147,293.96,87,31,4.83,PE,1691462611
265,banda aceh,5.5577,95.3222,301.31,70,100,4.86,ID,1691462612
266,kayan,16.9056,96.5631,299.23,87,100,3.56,MM,1691462612
267,taulaga,-11.0553,-171.0883,301.09,73,100,6.61,AS,1691462612
268,inverness,57.4791,-4.224,284.81,94,20,3.09,GB,1691462612
269,jefferson city,38.5767,-92.1735,297.41,69,100,0.0,US,1691462569
270,montepuez,-13.1256,38.9997,289.66,91,4,3.39,MZ,1691462612
271,filey,54.21,-0.2892,284.98,88,11,0.89,GB,1691462612
272,hancheng,32.5186,112.3522,303.76,62,61,3.54,CN,1691462613
273,ndikinimeki,4.7667,10.8333,292.13,97,100,1.77,CM,1691462613
274,uturoa,-16.7333,-151.4333,299.05,72,82,2.54,PF,1691462613
275,pourham,14.35,-16.4167,299.74,74,91,5.31,SN,1691462613
276,tazovsky,67.4667,78.7,289.65,65,4,1.82,RU,1691462613
277,amos,48.5669,-78.1162,286.45,96,100,4.58,CA,1691462613
278,pantelho,16.9333,-92.55,289.92,98,44,1.16,MX,1691462613
279,verkhneural'sk,53.8769,59.2106,291.42,81,26,1.3,RU,1691462614
280,tura,25.5198,90.2201,297.46,97,100,0.6,IN,1691462614
281,moju,-1.8839,-48.7689,296.17,97,22,1.25,BR,1691462614
282,al majaridah,19.1236,41.9111,303.78,28,11,1.03,SA,1691462444
283,namtsy,62.7161,129.6658,295.85,25,44,3.01,RU,1691462614
284,saipan,15.1355,145.701,304.54,100,75,3.6,MP,1691462614
285,saldanha,-33.0117,17.9442,287.18,95,29,2.68,ZA,1691462614
286,minab,27.1467,57.0801,306.9,58,5,0.86,IR,1691462614
287,thames,-37.1333,175.5333,284.47,86,100,2.62,NZ,1691462615
288,zouerate,22.7187,-12.4521,298.75,44,2,5.26,MR,1691462615
289,bamboo flat,11.7,92.7167,302.2,79,75,5.14,IN,1691462615
290,fountain inn,34.689,-82.1957,295.46,94,0,7.2,US,1691462615
291,harstad,68.799,16.5293,291.06,100,77,4.02,NO,1691462615
292,pitimbu,-7.4706,-34.8086,297.48,84,9,5.26,BR,1691462615
293,gisborne,-38.6533,178.0042,285.34,79,99,1.25,NZ,1691462615
294,el granada,37.5027,-122.4694,298.68,84,100,8.23,US,1691462615
295,hotan,37.0997,79.9269,298.92,38,84,5.36,CN,1691462616
296,zhuanghe,39.7008,122.9911,300.97,70,0,2.57,CN,1691462357
297,selfoss,63.9331,-20.9971,283.17,89,98,2.06,IS,1691462616
298,cabo san lucas,22.8909,-109.9124,305.76,66,12,3.58,MX,1691462616
299,ada,43.4166,-116.1262,290.92,67,40,6.71,US,1691462616
300,yamba,-5.9,22.3,297.5,42,86,0.78,CD,1691462617
301,kijang,35.2442,129.2139,305.0,75,70,7.61,KR,1691462617
302,kirakira,-10.4544,161.9205,299.52,85,97,2.69,SB,1691462617
303,kuta,-8.7233,115.1723,300.12,78,40,5.36,ID,1691462617
304,bhawanipatna,19.9,83.1667,299.94,78,95,3.93,IN,1691462617
305,haiku-pauwela,20.9219,-156.3051,303.16,59,20,12.35,US,1691462617
306,nuuk,64.1835,-51.7216,277.49,93,20,2.06,GL,1691462617
307,livingstonia,-10.606,34.1063,287.39,76,1,0.77,MW,1691462617
308,palmer,42.1584,-72.3287,296.27,81,75,5.14,US,1691462521
309,hafar al-batin,28.4328,45.9708,303.47,15,0,2.06,SA,1691462536
310,hermanus,-34.4187,19.2345,285.82,90,55,3.55,ZA,1691462618
311,punta del este,-34.9667,-54.95,281.41,80,20,2.57,UY,1691462618
312,tera,14.0078,0.7531,299.5,75,73,5.25,NE,1691462618
313,gebeit,21.0667,36.3167,301.66,23,5,1.46,SD,1691462618
314,rio grande,-32.035,-52.0986,283.68,62,32,5.4,BR,1691462425
315,kayangel,8.0823,134.7173,301.42,73,100,8.08,PW,1691462618
316,greymouth,-42.4667,171.2,282.14,70,82,1.18,NZ,1691462618
317,la junta,37.985,-103.5438,300.31,41,0,3.09,US,1691462619
318,puerto baquerizo moreno,-0.9,-89.6,296.91,74,70,5.17,EC,1691462619
319,susuman,62.7833,148.1667,284.74,39,82,4.86,RU,1691462619
320,badin,24.656,68.8384,302.22,67,100,10.26,PK,1691462619
321,alofi,-19.0595,-169.9187,298.09,88,75,3.6,NU,1691462619
322,katabu,-4.9333,122.5167,303.71,50,40,3.9,ID,1691462619
323,ar raqqah,35.95,39.0167,299.3,62,0,7.75,SY,1691462620
324,mossel bay,-34.1831,22.146,285.66,78,0,3.62,ZA,1691462620
325,aniva,46.7144,142.5294,293.21,69,51,6.48,RU,1691462620
326,westerland,54.9079,8.3033,288.16,63,40,12.86,DE,1691462620
327,cururupu,-1.8283,-44.8683,297.87,90,57,2.11,BR,1691462620
328,al ghayzah,16.2079,52.176,298.83,90,38,4.32,YE,1691462620
329,vorgashor,67.5833,63.95,286.54,77,95,5.41,RU,1691462620
330,anatuya,-28.4606,-62.8347,285.28,36,28,3.74,AR,1691462620
331,ondjiva,-17.0667,15.7333,285.17,47,0,1.54,AO,1691462621
332,saint-joseph,-21.3667,55.6167,293.36,73,36,5.38,RE,1691462621
333,merizo village,13.2658,144.6691,302.0,91,61,3.3,GU,1691462621
334,mikhaylovskoye,51.8239,79.7172,297.07,32,0,2.42,RU,1691462621
335,nanping,26.645,118.1736,307.63,62,73,0.64,CN,1691462621
336,hami,42.8,93.45,310.99,12,90,6.47,CN,1691462621
337,nadym,65.5333,72.5167,292.83,58,3,6.63,RU,1691462621
338,mata-utu,-13.2816,-176.1745,300.96,75,60,3.24,WF,1691462622
339,sitka,57.0531,-135.33,291.09,68,100,5.14,US,1691462340
340,aquiraz,-3.9014,-38.3911,300.47,79,50,7.05,BR,1691462622
341,boende,-0.2167,20.8667,294.96,90,99,0.84,CD,1691462622
342,lochem,52.1592,6.4111,287.61,94,84,4.76,NL,1691462622
343,hammerfest,70.6634,23.6821,290.4,82,100,1.03,NO,1691462336
344,vilhena,-12.7406,-60.1458,298.11,42,72,0.86,BR,1691462622
345,lascano,-33.6667,-54.2,278.33,91,0,2.97,UY,1691462623
346,taunggyi,20.7833,97.0333,291.23,98,100,1.79,MM,1691462623
347,newman,37.3138,-121.0208,311.34,33,0,4.56,US,1691462623
348,val-d'or,48.1002,-77.7828,286.2,94,100,4.63,CA,1691462484
349,kangding,30.0513,101.9603,295.43,69,86,2.28,CN,1691462623
350,bubaque,11.2833,-15.8333,300.07,81,94,3.04,GW,1691462623
351,olinda,-8.0089,-34.8553,299.0,78,75,6.17,BR,1691462332
352,qamdo,31.1667,97.2333,287.38,56,15,2.22,CN,1691462624
353,dolores,-36.3132,-57.6792,275.29,84,5,2.78,AR,1691462624
354,xining,36.6167,101.7667,295.26,48,6,0.26,CN,1691462624
355,kingston,17.997,-76.7936,302.68,77,20,4.63,JM,1691462457
356,cole harbour,44.6724,-63.4751,289.8,84,100,2.52,CA,1691462624
